"Generation","Mean","Median","Mode",
"0","-718.285","-738.0","-300",
"1","-793.9844559585492","-871.0","-900",
"2","-859.494623655914","-900.0","-900",
"3","-884.6153846153846","-901.0","-900",
"4","-898.2087378640776","-902.0","-900",
"5","-882.8928571428571","-902.0","-902",
"6","-867.6632124352332","-902.0","-902",
"7","-869.9020618556701","-902.0","-900",
"8","-885.2694300518135","-902.0","-900",
"9","-889.87","-902.0","-902",
"10","-893.025","-902.0","-902",
"11","-888.27","-902.0","-900",
"12","-870.2747252747253","-902.0","-900",
"13","-872.9685863874346","-902.0","-900",
"14","-886.3523316062176","-902.0","-900",
"15","-890.429292929293","-902.0","-902",
"16","-895.9154228855722","-902.0","-902",
"17","-890.4321608040201","-902.0","-900",
"18","-879.8163265306123","-902.0","-900",
"19","-888.959595959596","-902.0","-902",
"20","-877.2277227722773","-902.0","-902",
"21","-891.2160804020101","-902.0","-902",
"22","-890.0833333333334","-902.0","-900",
"23","-889.0697674418604","-902.0","-902",
"24","-897.8781725888325","-902.0","-902",
"25","-894.9020618556701","-902.0","-900",
"26","-889.4974358974359","-902.0","-900",
"27","-889.1538461538462","-902.0","-900",
"28","-870.195530726257","-902.0","-902",
"29","-889.9947916666666","-902.0","-900",
"30","-885.51","-902.0","-900",
"31","-896.0794392523364","-902.0","-900",
"32","-892.9796954314721","-902.0","-902",
"33","-893.5373134328358","-902.0","-900",
"34","-887.8142857142857","-902.0","-902",
"35","-897.6733668341709","-902.0","-902",
"36","-895.7821782178218","-902.0","-902",
"37","-890.512077294686","-902.0","-902",
"38","-888.8461538461538","-902.0","-902",
"39","-884.3586956521739","-902.0","-902",
"40","-885.3894736842105","-902.0","-900",
"41","-896.5025125628141","-902.0","-900",
"42","-883.7474226804123","-902.0","-902",
"43","-888.0923076923077","-902.0","-902",
"44","-893.4974874371859","-902.0","-902",
"45","-893.7272727272727","-902.0","-902",
"46","-893.2766990291262","-902.0","-902",
"47","-897.2731958762887","-902.0","-900",
"48","-896.3285714285714","-902.0","-900",
"49","-893.71875","-902.0","-902",
"50","-901.2333333333333","-902.0","-900",
"51","-899.1909090909091","-902.0","-902",
"52","-891.6238938053098","-902.0","-900",
"53","-899.2543859649123","-902.0","-900",
